publish_date,weekday,week,slot,slot_job,brief_id,tier,content_type,slug,title,brief_file,output_file,locales_at_publish,gate,status,drafted_on,quality_passed_on,image_generated_on,published_on,reviewed_by,notes
2026-12-10,Thu,14,2,fast,T3-06,T3,casestudy,industrial-machinery-baidu-seo-china,Baidu Indexing for an Industrial Supplier,briefs/2026-12-10-industrial-machinery-baidu-seo-china.md,output/industrial-machinery-baidu-seo-china.md,en,,not_started,,,,,,
2026-12-11,Fri,14,3,upgrade or report,T7-02,T7,translation,translation-batch-02,Translation batch 2,briefs/2026-12-11-translation-batch-02.md,output/translation-batch-02.md,fr es de,"evidence, day 90",not_started,,,,,,
2026-12-15,Tue,15,1,substantial,A8,T1,guide,wordpress-multilingual-china,"Chinese-Language WordPress, Done Right",briefs/2026-12-15-wordpress-multilingual-china.md,output/wordpress-multilingual-china.md,en fr es de,,not_started,,,,,,
2026-12-17,Thu,15,2,fast,T2-06,T2,guide-en,shopify-china,Does Shopify Work in China?,briefs/2026-12-17-shopify-china.md,output/shopify-china.md,en,harness,not_started,,,,,,
2026-12-18,Fri,15,3,upgrade or report,T7-03,T7,translation,translation-batch-03,Translation batch 3,briefs/2026-12-18-translation-batch-03.md,output/translation-batch-03.md,fr es de,"evidence, day 90",not_started,,,,,,
2026-12-22,Tue,16,1,substantial,T5-05,T5,guide-en-first,baidu-vs-google-technical-seo,Baidu vs Google: Technical Differences,briefs/2026-12-22-baidu-vs-google-technical-seo.md,output/baidu-vs-google-technical-seo.md,en,,not_started,,,,,,
2026-12-24,Thu,16,2,fast,T3-07,T3,casestudy,medical-device-icp-filing-china,ICP Filing for a Medical Device Firm,briefs/2026-12-24-medical-device-icp-filing-china.md,output/medical-device-icp-filing-china.md,en,,not_started,,,,,,
2026-12-25,Fri,16,3,upgrade or report,T4-04,T4,report,china-dependency-index-2026-12,"China Dependency Index, December 2026",briefs/2026-12-25-china-dependency-index-2026-12.md,output/china-dependency-index-2026-12.md,en,harness,not_started,,,,,,
2026-12-29,Tue,17,1,substantial,A12,T1,guide,wordpress-security-china,WordPress Security on a Mainland Server,briefs/2026-12-29-wordpress-security-china.md,output/wordpress-security-china.md,en fr es de,,not_started,,,,,,
2026-12-31,Thu,17,2,fast,T2-09,T2,guide-en,maps-china,Maps in China: Licensing Before Firewall,briefs/2026-12-31-maps-china.md,output/maps-china.md,en,harness,not_started,,,,,,
2027-01-01,Fri,17,3,upgrade or report,T7-04,T7,translation,translation-batch-04,Translation batch 4,briefs/2027-01-01-translation-batch-04.md,output/translation-batch-04.md,fr es de,"evidence, day 90",not_started,,,,,,
2027-01-05,Tue,18,1,substantial,T5-03,T5,guide-en-first,wechat-website-integration,WeChat and Your China Website,briefs/2027-01-05-wechat-website-integration.md,output/wechat-website-integration.md,en,,not_started,,,,,,
2027-01-07,Thu,18,2,fast,T3-08,T3,casestudy,luxury-brand-china-ux-redesign,Redesigning a Luxury Site for China,briefs/2027-01-07-luxury-brand-china-ux-redesign.md,output/luxury-brand-china-ux-redesign.md,en,,not_started,,,,,,
2027-01-08,Fri,18,3,upgrade or report,T7-05,T7,translation,translation-batch-05,Translation batch 5,briefs/2027-01-08-translation-batch-05.md,output/translation-batch-05.md,fr es de,"evidence, day 90",not_started,,,,,,
2027-01-12,Tue,19,1,substantial,B2,T1,guide,china-website-cost,What a China Website Actually Costs,briefs/2027-01-12-china-website-cost.md,output/china-website-cost.md,en fr es de,pricing decision (open item 3),not_started,,,,,,
2027-01-14,Thu,19,2,fast,T2-10,T2,guide-en,vercel-netlify-china,Vercel and Netlify From Mainland China,briefs/2027-01-14-vercel-netlify-china.md,output/vercel-netlify-china.md,en,harness,not_started,,,,,,
2027-01-15,Fri,19,3,upgrade or report,T7-06,T7,translation,translation-batch-06,Translation batch 6,briefs/2027-01-15-translation-batch-06.md,output/translation-batch-06.md,fr es de,"evidence, day 90",not_started,,,,,,
2027-01-19,Tue,20,1,substantial,T5-04,T5,guide-en-first,china-website-maintenance,What China Website Maintenance Covers,briefs/2027-01-19-china-website-maintenance.md,output/china-website-maintenance.md,en,,not_started,,,,,,
2027-01-21,Thu,20,2,fast,T3-09,T3,casestudy,b2b-services-geo-china-ai-search,Getting Cited by Chinese AI Assistants,briefs/2027-01-21-b2b-services-geo-china-ai-search.md,output/b2b-services-geo-china-ai-search.md,en,,not_started,,,,,,
2027-01-22,Fri,20,3,upgrade or report,T4-05,T4,report,foreign-site-load-study-china-2026,How Foreign Sites Load in China,briefs/2027-01-22-foreign-site-load-study-china-2026.md,output/foreign-site-load-study-china-2026.md,en,harness,not_started,,,,,,
2027-01-26,Tue,21,1,substantial,T5-06,T5,guide-en-first,china-bilingual-content-ops,Running an English and Chinese Site,briefs/2027-01-26-china-bilingual-content-ops.md,output/china-bilingual-content-ops.md,en,,not_started,,,,,,
2027-01-28,Thu,21,2,fast,T2-11,T2,guide-en,webflow-china,Does Webflow Work in China? We Measured,briefs/2027-01-28-webflow-china.md,output/webflow-china.md,en,harness,not_started,,,,,,
2027-01-29,Fri,21,3,upgrade or report,T7-07,T7,translation,translation-batch-07,Translation batch 7,briefs/2027-01-29-translation-batch-07.md,output/translation-batch-07.md,fr es de,"evidence, day 90",not_started,,,,,,
2027-02-02,Tue,22,1,substantial,T5-07,T5,guide-en-first,china-website-accessibility-mobile,Mobile and Browsers in China,briefs/2027-02-02-china-website-accessibility-mobile.md,output/china-website-accessibility-mobile.md,en,,not_started,,,,,,
2027-02-04,Thu,22,2,fast,T3-10,T3,casestudy,school-group-china-maintenance-retainer,Two Years of Maintenance in China,briefs/2027-02-04-school-group-china-maintenance-retainer.md,output/school-group-china-maintenance-retainer.md,en,,not_started,,,,,,
2027-02-05,Fri,22,3,upgrade or report,T7-08,T7,translation,translation-batch-08,Translation batch 8,briefs/2027-02-05-translation-batch-08.md,output/translation-batch-08.md,fr es de,"evidence, day 90",not_started,,,,,,
2027-02-09,Tue,23,1,substantial,B6,T1,guide,china-web-agency-landscape-2026,"The China Web Agency Landscape, 2026",briefs/2027-02-09-china-web-agency-landscape-2026.md,output/china-web-agency-landscape-2026.md,en fr es de,,not_started,,,,,,
2027-02-11,Thu,23,2,fast,T2-12,T2,guide-en,squarespace-wix-china,"Squarespace and Wix in China, Measured",briefs/2027-02-11-squarespace-wix-china.md,output/squarespace-wix-china.md,en,harness,not_started,,,,,,
2027-02-12,Fri,23,3,upgrade or report,T4-06,T4,report,china-dependency-index-2027-01,"China Dependency Index, January 2027",briefs/2027-02-12-china-dependency-index-2027-01.md,output/china-dependency-index-2027-01.md,en,harness,not_started,,,,,,
2027-02-16,Tue,24,1,substantial,T5-08,T5,guide-en-first,foreign-brand-china-web-checklist,The China Website Pre-Launch Checklist,briefs/2027-02-16-foreign-brand-china-web-checklist.md,output/foreign-brand-china-web-checklist.md,en,,not_started,,,,,,
2027-02-18,Thu,24,2,fast,T2-13,T2,guide-en,chat-widgets-china,Chat Widgets in China: Intercom to Crisp,briefs/2027-02-18-chat-widgets-china.md,output/chat-widgets-china.md,en,harness,not_started,,,,,,
2027-02-19,Fri,24,3,upgrade or report,T7-09,T7,translation,translation-batch-09,Translation batch 9,briefs/2027-02-19-translation-batch-09.md,output/translation-batch-09.md,fr es de,"evidence, day 90",not_started,,,,,,
2027-02-23,Tue,25,1,substantial,R1,reserve,reserve,reserve-1,Reserve slot 1,briefs/2027-02-23-reserve-1.md,,,,reserve,,,,,,
2027-02-25,Thu,25,2,fast,T2-14,T2,guide-en,cookie-consent-china,Cookie Consent Banners in China,briefs/2027-02-25-cookie-consent-china.md,output/cookie-consent-china.md,en,harness,not_started,,,,,,
2027-02-26,Fri,25,3,upgrade or report,T7-10,T7,translation,translation-batch-10,Translation batch 10,briefs/2027-02-26-translation-batch-10.md,output/translation-batch-10.md,fr es de,"evidence, day 90",not_started,,,,,,
2027-03-02,Tue,26,1,substantial,R2,reserve,reserve,reserve-2,Reserve slot 2,briefs/2027-03-02-reserve-2.md,,,,reserve,,,,,,
2027-03-04,Thu,26,2,fast,R3,reserve,reserve,reserve-3,Reserve slot 3,briefs/2027-03-04-reserve-3.md,,,,reserve,,,,,,
2027-03-05,Fri,26,3,upgrade or report,T7-11,T7,translation,translation-batch-11,Translation batch 11,briefs/2027-03-05-translation-batch-11.md,output/translation-batch-11.md,fr es de,"evidence, day 90",not_started,,,,,,
